2026-01-13 00:02:30,754 | WARNING | 00:02:30 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:31,068 | WARNING | 00:02:31 | CRITICAL | Sudden motion jump detected
2026-01-13 00:02:31,473 | WARNING | 00:02:31 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:31,857 | WARNING | 00:02:31 | CRITICAL | Sudden motion jump detected
2026-01-13 00:02:32,222 | WARNING | 00:02:32 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:32,598 | WARNING | 00:02:32 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:33,054 | WARNING | 00:02:33 | CRITICAL | Sudden motion jump detected
2026-01-13 00:02:33,561 | WARNING | 00:02:33 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:34,118 | WARNING | 00:02:34 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:34,497 | WARNING | 00:02:34 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:35,104 | WARNING | 00:02:35 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:12:59,599 | WARNING | HIGH RISK | Zone 2 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:12:59,792 | WARNING | HIGH RISK | Zone 2 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:13:00,050 | WARNING | HIGH RISK | Zone 2 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:13:00,222 | WARNING | HIGH RISK | Zone 4 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:13:00,408 | WARNING | HIGH RISK | Zone 4 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:13:40,472 | WARNING | HIGH RISK | Zone 2 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:13:40,619 | WARNING | HIGH RISK | Zone 2 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:13:40,774 | WARNING | HIGH RISK | Zone 2 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:13:40,986 | WARNING | HIGH RISK | Zone 2 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:13:41,186 | WARNING | HIGH RISK | Zone 2 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:13:41,430 | WARNING | HIGH RISK | Zone 2 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:13:41,606 | WARNING | HIGH RISK | Zone 2 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:13:41,886 | WARNING | HIGH RISK | Zone 4 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:13:42,055 | WARNING | HIGH RISK | Zone 4 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:13:42,295 | WARNING | HIGH RISK | Zone 4 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:13:42,541 | WARNING | HIGH RISK | Zone 4 | \u26a0\ufe0f Control entry, add security staff
